experiment,name,float_auc,tflite_accuracy,tflite_auc,model_size_kb,inference_ms,auc_degradation,params_estimate,pareto_frontier,best_accurate,best_tiny,best_fast,best_balanced
1_baseline,Baseline,0.986,0.943,0.986,18.28,0.19,,18280,True,True,False,True,True
2_depthwise,Depthwise Sep,0.9781,0.9273,0.9775,19.65,0.24,0.0007,19650,False,False,False,False,False
3_batchnorm,BatchNorm,0.9844,0.9377,0.9844,18.61,0.33,0.0,18610,False,False,False,False,False
4_dense,Dense x2,0.9844,0.935,0.984,59.59,0.3,0.0003,59590,False,False,False,False,False
5_filters,Filters x1.5,0.983,0.937,0.9829,32.76,0.23,0.0001,32759,False,False,False,False,False
6_best_accuracy,Best (DW+BN+Drop),0.9762,0.9215,0.976,47.77,0.24,0.0002,47770,False,False,False,False,False
7_hybrid,Hybrid,0.9808,0.9303,0.9808,18.61,0.21,0.0,18610,False,False,False,False,False
8a_dropout01,Dropout 0.1,0.981,0.9333,0.9805,18.4,0.23,0.0005,18400,False,False,False,False,False
8b_dropout02,Dropout 0.2,0.9815,0.9293,0.9802,18.4,0.22,0.0013,18400,False,False,False,False,False
8c_dropout03,Dropout 0.3,0.9805,0.9343,0.9801,18.2,0.23,0.0005,18200,True,False,True,False,False
8d_dropout04,Dropout 0.4,0.9773,0.9253,0.977,18.4,0.21,0.0003,18400,False,False,False,False,False
9a_depthwise_drop01,DW+Drop 0.1,0.977,0.926,0.9769,19.8,0.47,0.0,19800,False,False,False,False,False
9b_depthwise_drop02,DW+Drop 0.2,0.973,0.914,0.9723,19.8,0.44,0.0006,19800,False,False,False,False,False
9c_depthwise_drop03,DW+Drop 0.3,0.9766,0.9225,0.9766,19.8,0.27,0.0,19800,False,False,False,False,False
9d_depthwise_drop04,DW+Drop 0.4,0.9648,0.921,0.965,19.8,0.31,,19800,False,False,False,False,False
10_depthwise_f6,DW Filters x1.5,0.9738,0.916,0.9738,26.9,0.3,,26900,False,False,False,False,False
