n_fft,n_mels,seed,tflite_acc,tflite_auc,float_auc,model_size_kb,inference_ms,training_time,precision,recall,f1
512,16,42,0.9243,0.9749,0.9753,7.28,0.06,,0.9246,0.9243,0.9242
512,32,42,0.9393,0.9815,0.9824,12.78,0.13,,0.9393,0.9392,0.9392
512,48,42,0.9373,0.9841,0.9845,18.28,0.19,,0.9378,0.9373,0.9372
512,64,42,0.9373,0.9832,0.9832,23.78,0.26,,0.9375,0.9372,0.9372
512,80,42,0.9283,0.9817,0.9818,29.28,0.32,,0.9289,0.9283,0.9282
1024,16,42,0.916,0.9706,0.9706,7.28,0.06,,0.9163,0.916,0.916
1024,32,42,0.9267,0.9787,0.9791,12.78,0.13,,0.9281,0.9267,0.9267
1024,48,42,0.943,0.986,0.986,18.28,0.19,,0.9431,0.943,0.943
1024,64,42,0.9387,0.9846,0.9848,23.78,0.26,,0.9393,0.9387,0.9387
1024,80,42,0.935,0.9836,0.984,29.28,0.33,,0.9351,0.935,0.935
