Model,n_mels,Accuracy,AUC,Size_KB,MACs_K,RAM_KB,Latency_ms
Baseline,16,0.9304,0.9758,7.28,158.64,20.108125,0.06
Baseline,32,0.9504,0.9862,12.78,371.632,39.858125,0.13
Baseline,48,0.9512,0.9873,18.28,584.624,59.608125,0.22
Baseline,64,0.948,0.9869,23.78,797.616,79.358125,0.3
Baseline,80,0.948,0.9869,29.28,1010.608,99.108125,0.4
Dropout,16,0.9336,0.9794,7.2,158.64,20.028125,0.07
Dropout,32,0.9306,0.9799,12.7,371.632,39.778125,0.14
Dropout,48,0.9488,0.9872,18.2,584.624,59.528125,0.22
Dropout,64,0.9362,0.9846,23.7,797.616,79.278125,0.29
Dropout,80,0.9428,0.9843,29.2,1010.608,99.028125,0.33
More Filters,16,0.9442,0.9827,10.62,445.424,33.40125,0.06
More Filters,32,0.9528,0.9902,21.62,1076.464,70.02625,0.13
More Filters,48,0.9478,0.9888,32.62,1707.504,106.65125,0.2
More Filters,64,0.9562,0.9891,43.62,2338.544,143.27625,0.28
More Filters,80,0.9576,0.9908,54.62,2969.584,179.90125,0.35
Bigger Dense,16,0.9338,0.9795,15.59,167.136,28.418125,0.06
Bigger Dense,32,0.9478,0.9837,37.59,397.024,64.668125,0.14
Bigger Dense,48,0.9452,0.9859,59.59,626.912,100.918125,0.21
Bigger Dense,64,0.9514,0.9879,81.59,856.8,137.168125,0.27
Bigger Dense,80,0.9534,0.9857,103.59,1086.688,173.418125,0.34
BatchNorm,16,0.9336,0.9773,7.61,158.64,20.438125,0.06
BatchNorm,32,0.9462,0.9831,13.11,371.632,40.188125,0.13
BatchNorm,48,0.945,0.9836,18.61,584.624,59.938125,0.2
BatchNorm,64,0.952,0.987,24.11,797.616,79.688125,0.27
BatchNorm,80,0.951,0.9871,29.61,1010.608,99.438125,0.33
Hybrid,16,0.9392,0.9802,7.61,158.64,20.438125,0.06
Hybrid,32,0.9464,0.9858,13.11,371.632,40.188125,0.13
Hybrid,48,0.9462,0.986,18.61,584.624,59.938125,0.2
Hybrid,64,0.9422,0.9862,24.11,797.616,79.688125,0.27
Hybrid,80,0.9476,0.9858,29.61,1010.608,99.438125,0.34
Depthwise,16,0.9186,0.9667,8.65,47.592,21.478125,0.07
Depthwise,32,0.9344,0.9814,14.15,111.489,41.228125,0.15
Depthwise,48,0.9308,0.9802,19.65,175.387,60.978125,0.22
Depthwise,64,0.9452,0.9853,25.15,239.284,80.728125,0.31
Depthwise,80,0.9438,0.9833,30.65,303.182,100.478125,0.38
